CASE_NO|ECLI|NAME
11/58||Hüttenwerke Siegerland / ECSC High Authority (11/58) , see Case  3/58
12/58||Friedrichshütte / ECSC High Authority (12/58) , see Case  3/58
13/58||Eiserfelderhütte / ECSC High Authority (13/58) , see Case  3/58
14/58||Niederdreisbacherhütte / ECSC High Authority (14/58) , see Case  3/58
15/58||Gewerkschaft Grünebacher / ECSC High Authority (15/58) , see Case  3/58
16/58||Birlenbacherhütte / ECSC High Authority (16/58) , see Case  3/58
17/58||Maximilianshütte / ECSC High Authority (17/58) , see Case  3/58
18/58||Hüttenwerke Ilsede-Peine / ECSC High Authority (18/58) , see Case  3/58
19/58|ECLI:EU:C:1960:19|Judgment of 10 May 1960, Germany / ECSC High Authority (19/58, ECR 1960 p. 225)          (FR1960/00471 NL1960/00481 DE1960/00483 IT1960/00457 EN1960/00225 DA1954-1964/00181 EL1954-1964/00395 PT1954-1961/00401)
20/58|ECLI:EU:C:1959:14|Judgment of 17 July 1959, Phoenix-Rheinrohr AG / ECSC High Authority (20/58, ECR 1959 p. 75)          (FR1959/00163 NL1959/00175 DE1959/00167 IT1959/00157 EN1959/00075 DA1954-1964/00133 EL1954-1964/00327 PT1954-1961/00321)
21/58|ECLI:EU:C:1959:15|Judgment of 17 July 1959, Felten & Guilleaume AG / ECSC High Authority (21/58, ECR 1959 p. 99)          (FR1959/00211 NL1959/00227 DE1959/00219 IT1959/00205 EN1959/00099 DA1954-1964/00135 EL1954-1964/00329 PT1954-1961/00325)
22/58|ECLI:EU:C:1959:16|Judgment of 17 July 1959, Bochumer Verein / ECSC High Authority (22/58, ECR 1959 p. 107)          (FR1959/00231 NL1959/00249 DE1959/00241 IT1959/00225 EN1959/00107 DA1954-1964/00137 EL1954-1964/00331 PT1954-1961/00329)
23/58|ECLI:EU:C:1959:17|Judgment of 17 July 1959, Mannesmann AG and others / ECSC High Authority (23/58, ECR 1959 p. 117)          (FR1959/00253 NL1959/00273 DE1959/00265 IT1959/00247 EN1959/00117 DA1954-1964/00139 EL1954-1964/00333 PT1954-1961/00333)
24/58|ECLI:EU:C:1960:32|Judgment of 15 July 1960, Chambre syndicale de la sidérurgie de l'est de la France / ECSC High Authority (24/58 and 34/58, ECR 1960 p. 281)          (FR1960/00573 NL1960/00591 DE1960/00591 IT1960/00555 EN1960/00281 DA1954-1964/00187 EL1954-1964/00445 PT1954-1961/00445 ES1954-1960/00299)
25/58||Hüttenwerk Salzgitter / ECSC High Authority (25/58) , see Case  3/58
26/58||Luitpoldhütte / ECSC High Authority (26/58) , see Case  3/58
27/58|ECLI:EU:C:1960:20|Judgment of 10 May 1960, Hauts Fourneuax de Givors and others / ECSC High Authority (27-58, 28-58 and 29-58, ECR 1960 p. 241)          (FR1960/00503 NL1960/00515 DE1960/00515 IT1960/00487 EN1960/00241 DA1954-1964/00183 EL1954-1964/00402 PT1954-1961/00405 ES1954-1960/00251)
28/58||Exploitation minière des Pyrénées / ECSC High Authority (28/58) , see Case  27/58
29/58||Ateliers de la Loire / ECSC High Authority (29/58) , see Case  27/58
30/58|ECLI:EU:C:1958:11|Removed from the register on 23 June 1958, Stahl- und Röhrenwerk / ECSC High Authority (30/58)
31/58|ECLI:EU:C:1958:16|Removed from the register on 11 November 1958, Borgaro / ECSC High Authority (31/58)
32/58|ECLI:EU:C:1959:18|Judgment of 17 July 1959, Snupat / ECSC High Authority (32/58 and 33/58, ECR 1959 p. 127)          (FR1959/00275 NL1959/00297 DE1959/00289 IT1959/00271 EN1959/00127 DA1954-1964/00141 EL1954-1964/00335 PT1954-1961/00337)
33/58||Snupat / ECSC High Authority (33/58) , see Case  32/58
34/58||Chambre syndicale de la sidérurgie de l'Est / ECSC High Authority (34/58) , see Case  24/58
35/58|ECLI:EU:C:1958:17|Removed from the register on 12 November 1958, Worms / ECSC High Authority (35/58)
36/58|ECLI:EU:C:1959:19|Judgment of 17 July 1959, Simet and others / ECSC High Authority (36/58, 37/58, 38/58, 40/58 and 41/58, ECR 1959 p. 157)          (FR1959/00331 NL1959/00359 DE1959/00349 IT1959/00327 EN1959/00157 DA1954-1964/00145 EL1954-1964/00341 PT1954-1961/00343)
37/58||Meroni / ECSC High Authority (37/58) , see Case  36/58
38/58||Meroni / ECSC High Authority (38/58) , see Case  36/58
39/58|ECLI:EU:C:1959:7|Removed from the register on 8 May 1959, Eisen- und Stahlindustrie / ECSC High Authority (39/58)
40/58||Ferro / ECSC High Authority (40/58) , see Case  36/58
41/58||San Michele / ECSC High Authority (41/58) , see Case  36/58
42/58|ECLI:EU:C:1959:20|Judgment of 17 July 1959, S.A.F.E. / ECSC High Authority (42/58, ECR 1959 p. 183)          (FR1959/00381 NL1959/00413 DE1959/00401 IT1959/00377 EN1959/00183 DA1954-1964/00147 EL1954-1964/00345 PT1954-1961/00347)
43/58|ECLI:EU:C:1960:43|Removed from the register on 23 November 1960, Sidélor / ECSC High Authority (43/58)
1/59|ECLI:EU:C:1959:29|Judgment of 17 December 1959, Macchiorlatti Dalmas e Figli / ECSC High Authority (1/59, ECR 1959 p. 199)          (FR1959/00413 NL1959/00447 DE1959/00433 IT1959/00407 EN1959/00199 DA1954-1964/00151 EL1954-1964/00349 PT1954-1961/00353)
1/59|ECLI:EU:C:1959:30|Opinion 1/59 (First Opinion on the amendment of Article 56 ECSC), of 17 December 1959 (ECR 1959 p. 533)          (FR1959/ NL1959/00573 DE1959/00553 IT1959/00519 EN1959/00259 DA1954-1964/00157 EL1954-1964/00357 PT1954-1961/00365)
2/59|ECLI:EU:C:1959:2|Order of 30 January 1959, Mannesmann / ECSC High Authority (2-59 and 4-59 to 13-59, ECR 1960 p. 345)          (FR1960/00345 NL1960/00353 DE1960/00351 IT1960/00335 EN1960/00162)
3/59|ECLI:EU:C:1960:9|Judgment of 8 March 1960, Germany / ECSC High Authority (3/59, ECR 1960 p. 53)          (FR1960/00117 NL1960/00121 DE1960/00123 IT1960/00115 EN1960/00053 DA1954-1964/00169 EL1954-1964/00373 PT1954-1961/00379)
4/59|ECLI:EU:C:1960:13|Judgment of 4 April 1960, Mannesmann AG and others / ECSC High Authority (4-59 to 13-59, ECR 1960 p. 113)          (FR1960/00243 NL1960/00247 DE1960/00251 IT1960/00235 EN1960/00113 DA1954-1964/00175 EL1954-1964/00383 PT1954-1961/00391)
4/59|ECLI:EU:C:1960:25|Order of 18 May 1960, Mannesmann AG and others / ECSC High Authority (4-59 to 13-59, ECR 1960 p. 159)          (FR1960/00339 NL1960/00347 DE1960/00345 IT1960/00329 EN1960/00159)
5/59||Ruhrstahl / ECSC High Authority (5/59) , see Case  4/59
6/59||Gussstahlwerk Gelsenkirchen / ECSC High Authority (6/59) , see Case  4/59
7/59||Gussstahlwerk Witten / ECSC High Authority (7/59) , see Case  4/59
8/59||Niederrheinische Hütte / ECSC High Authority (8/59) , see Case  4/59
9/59||Gussstahlfabrikation / ECSC High Authority (9/59) , see Case  4/59
10/59||Stahlwerke Bochum / ECSC High Authority (10/59) , see Case  4/59
11/59||Thyssen / ECSC High Authority (11/59) , see Case  4/59
12/59||Hüttenwerke Oberhausen / ECSC High Authority (12/59) , see Case  4/59
13/59||Phoenix-Rheinrohr / ECSC High Authority (13/59) , see Case  4/59
14/59|ECLI:EU:C:1959:31|Judgment of 17 December 1959, Société des fonderies de Pont-à-Mousson / ECSC High Authority (14/59, ECR 1959 p. 215)          (FR1959/00445 NL1959/00483 DE1959/00467 IT1959/00437 EN1959/00215 DA1954-1964/00153 EL1954-1964/00351 PT1954-1961/00357)
15/59|ECLI:EU:C:1959:13|Order of 30 June 1959, Société metallurgique de Knutange / ECSC High Authority (15-59 and 29-59, ECR 1960 p. 14)          (FR1960/00039 NL1960/00039 DE1960/00039 IT1960/00037 EN1960/00014)
15/59|ECLI:EU:C:1960:4|Judgment of 12 February 1960, Société metallurgique de Knutange / ECSC High Authority (15-59 and 29-59, ECR 1960 p. 1)          (FR1960/00011 NL1960/00011 DE1960/00011 IT1960/00011 EN1960/00001 DA1954-1964/00159 EL1954-1964/00361 PT1954-1961/00369)
16/59|ECLI:EU:C:1960:5|Judgment of 12 February 1960, Geitling Ruhrkohlen-Verkaufsgesellschaft and others / ECSC High Authority (16-59, 17-59 and 18-59, ECR 1960 p. 17)          (FR1960/00047 NL1960/00047 DE1960/00047 IT1960/00045 EN1960/00017 DA1954-1964/00163 EL1954-1964/00365 PT1954-1961/00373)
17/59||Mausegatt / ECSC High Authority (17/59) , see Case  16/59
18/59||Präsident / ECSC High Authority (18/59) , see Case  16/59
19/59|ECLI:EU:C:1959:8|Order of 12 May 1959, Geitling Ruhrkohlen-Verkaufsgesellschaft and others / ECSC High Authority (16-59, 17-59, 18-59 and 19-59, ECR 1960 p. 85)          (FR1960/00085 NL1960/00085 DE1960/00087 IT1960/00081 EN1960/00034 DA1954-1964/00165 EL1954-1964/00369 PT1954-1961/00319)
20/59|ECLI:EU:C:1960:33|Judgment of 15 July 1960, Italy / ECSC High Authority (20/59, ECR 1960 p. 325)          (FR1960/00663 NL1960/00683 DE1960/00683 IT1960/00641 EN1960/00325 DA1954-1964/00189 EL1954-1964/00497 PT1954-1961/00491 ES1954-1960/00353)
21/59|ECLI:EU:C:1959:9|Order of 20 May 1959, Italy / ECSC High Authority (21/59 R, ECR 1960 p. 351)          (FR1960/00717 NL1960/00739 DE1960/00737 IT1960/00691 EN1960/00351)
22/59|ECLI:EU:C:1960:23|Removed from the register on 12 May 1960, Macchiorlatti Dalmas / ECSC High Authority (22/59)
23/59|ECLI:EU:C:1959:33|Judgment of 17 December 1959, F.E.R.A.M. / ECSC High Authority (23/59, ECR 1959 p. 245)          (FR1959/00501 NL1959/00543 DE1959/00523 IT1959/00489 EN1959/00245 DA1954-1964/00155 EL1954-1964/00355 PT1954-1961/00361)
24/59|ECLI:EU:C:1959:21|Removed from the register on 17 July 1959, Nold / ECSC High Authority (24/59)
25/59|ECLI:EU:C:1960:7|Order of 19 February 1960, Netherlands / ECSC High Authority (25/59, ECR 1960 p. 386)          (FR1960/00787 NL1960/00811 DE1960/00811 IT1960/00757 EN1960/00386)
25/59|ECLI:EU:C:1960:34|Judgment of 15 July 1960, Netherlands / ECSC High Authority (25/59, ECR 1960 p. 355)          (FR1960/00723 NL1960/00747 DE1960/00745 IT1960/00699 EN1960/00355 DA1954-1964/00191 EL1954-1964/00501 PT1954-1961/00495 ES1954-1960/00381)
26/59|ECLI:EU:C:1960:44|Removed from the register on 23 November 1960, Sidélor / ECSC High Authority (26/59)
27/59|ECLI:EU:C:1960:35|Judgment of 15 July 1960, Campolongo / ECSC High Authority (27-59 and 39-59, ECR 1960 p. 391)          (FR1960/00795 NL1960/00821 DE1960/00821 IT1960/00767 EN1960/00391 DA1954-1964/00193 EL1954-1964/00525 PT1954-1961/00519)
28/59|ECLI:EU:C:1961:1|Removed from the register on 26 January 1961, Mollet / ECSC High Authority (28/59)
29/59||Knutange / ECSC High Authority (29/59) , see Case  15/59
30/59|ECLI:EU:C:1960:6|Order of 18 February 1960, De gezamenlijke Steenkolenmijnen in Limburg / ECSC High Authority (30/59, ECR 1961 p. 48)          (FR1961/00091 NL1961/00093 DE1961/00099 IT1961/00089 EN1961/00048 ES1961-1963/00049)
30/59|ECLI:EU:C:1960:11|Order of 24 March 1960, De gezamenlijke Steenkolenmijnen in Limburg / ECSC High Authority (30/59, ECR 1961 p. 50)          (FR1961/00095 NL1961/00097 DE1961/00103 IT1961/00093 EN1961/00050 ES1961-1963/00051)
30/59|ECLI:EU:C:1961:2|Judgment of 23 February 1961, De gezamenlijke Steenkolenmijnen in Limburg / ECSC High Authority (30/59, ECR 1961 p. 1)          (FR1961/00003 NL1961/00003 DE1961/00003 IT1961/00003 EN1961/00001 DA1954-1964/00211 EL1954-1964/00549 PT1954-1961/00551 ES1961-1963/00001 SVI/00069 FII/00069)
31/59|ECLI:EU:C:1959:12|Order of 26 June 1959, Acciaeria e tubificio di Brescia / ECSC High Authority (31/59 R, ECR 1960 p. 98)          (FR1960/00209 NL1960/00213 DE1960/00217 IT1960/00201 EN1960/00098)
31/59|ECLI:EU:C:1960:17|Judgment of 14 April 1960, Acciaeria e tubificio di Brescia / ECSC High Authority (31/59, ECR 1960 p. 71)          (FR1960/00153 NL1960/00157 DE1960/00161 IT1960/00149 EN1960/00071 DA1954-1964/00171 EL1954-1964/00377 PT1954-1961/00383)
32/59|ECLI:EU:C:1959:22|Removed from the register on 9 October 1959, Mondaini / ECSC High Authority (32/59)
33/59|ECLI:EU:C:1962:10|Order of 21 March 1962, Compagnie des hauts fourneaux de Chasse / ECSC High Authority (33/59, 46/59 and 47/59, ECR 1962 p. 408)          (FR1962/00777 NL1962/00813 DE1962/00829 IT1962/00757 EN1962/00408)
33/59|ECLI:EU:C:1962:43|Judgment of 14 December 1962, Compagnie des hauts fourneaux de Chasse / ECSC High Authority (33/59, ECR 1962 p. 381)          (FR1962/00719 NL1962/00751 DE1962/00767 IT1962/00699 EN1962/00381 DA1954-1964/00335 EL1954-1964/00795 PT1962-1964/00139)
34/59|ECLI:EU:C:1960:14|Judgment of 4 April 1960, Elz / ECSC High Authority (34/59, ECR 1960 p. 101)          (FR1960/00217 NL1960/00221 DE1960/00225 IT1960/00209 EN1960/00101 DA1954-1964/00173 EL1954-1964/00381 PT1954-1961/00387)
35/59|ECLI:EU:C:1962:21|Removed from the register on 19 June 1962, Comitato Produttori coke / ECSC High Authority (35/59)
